38
1: 0(0)->54(100)->142(148)->306(162)->269(175)->323(193)->282(217)->125(231)->248(269)->132(302)->66(366)->83(391)->38(459)->0(559)
2: 0(0)->93(19)->144(35)->213(84)->398(118)->383(145)->140(172)->361(186)->393(204)->85(225)->77(258)->370(285)->388(384)->102(568)->0(685)
3: 0(0)->164(26)->143(71)->296(82)->256(93)->23(108)->283(132)->76(161)->32(172)->363(185)->214(196)->35(238)->159(308)->0(370)
4: 0(0)->75(30)->238(45)->211(59)->161(71)->150(93)->349(114)->318(126)->72(137)->107(175)->47(200)->242(213)->3(225)->344(237)->0(306)
5: 0(0)->329(32)->250(85)->121(111)->359(138)->46(177)->270(202)->158(265)->290(281)->190(357)->235(395)->309(420)->36(580)->0(630)
6: 0(0)->313(36)->194(109)->315(126)->328(142)->278(164)->9(179)->42(230)->19(245)->68(262)->146(276)->379(301)->160(318)->94(355)->376(497)->0(561)
7: 0(0)->245(48)->222(78)->2(164)->196(177)->352(199)->334(222)->348(260)->126(299)->133(342)->257(436)->119(528)->0(641)
8: 0(0)->317(56)->173(114)->127(133)->316(147)->179(161)->243(173)->123(213)->52(225)->33(289)->124(317)->0(415)
9: 0(0)->276(62)->108(102)->165(119)->360(135)->90(147)->285(176)->261(213)->314(237)->268(267)->86(286)->300(323)->26(389)->0(494)
10: 0(0)->104(66)->169(176)->204(207)->400(230)->128(289)->369(330)->332(358)->206(396)->227(462)->386(509)->353(537)->244(608)->0(742)
11: 0(0)->391(67)->355(85)->375(99)->55(145)->288(188)->297(208)->210(224)->39(237)->364(285)->1(299)->216(369)->0(508)
12: 0(0)->136(67)->304(158)->63(169)->155(194)->377(222)->145(234)->233(254)->117(357)->34(395)->178(456)->120(469)->0(540)
13: 0(0)->207(68)->295(142)->177(161)->217(196)->49(256)->219(288)->135(395)->220(448)->183(464)->202(526)->0(579)
14: 0(0)->168(70)->97(99)->141(129)->181(195)->279(240)->111(255)->109(272)->387(429)->212(492)->293(569)->187(633)->182(676)->0(724)
15: 0(0)->368(71)->381(183)->356(235)->157(253)->350(270)->280(290)->335(322)->59(360)->322(387)->358(426)->397(461)->84(502)->0(589)
16: 0(0)->333(78)->298(131)->156(154)->147(168)->265(184)->113(197)->139(216)->27(237)->303(248)->198(267)->0(380)
17: 0(0)->44(82)->95(127)->287(169)->259(201)->13(229)->22(278)->357(306)->99(388)->321(433)->343(493)->45(530)->201(594)->0(634)
18: 0(0)->92(83)->396(98)->266(179)->224(190)->138(204)->170(218)->277(276)->61(354)->64(410)->338(445)->225(490)->0(600)
19: 0(0)->367(86)->115(97)->337(141)->340(184)->129(202)->11(217)->267(231)->15(243)->327(259)->272(283)->0(386)
20: 0(0)->232(86)->96(162)->342(178)->228(209)->308(245)->18(276)->116(384)->7(437)->399(478)->153(507)->14(553)->241(596)->0(672)
21: 0(0)->106(85)->149(131)->67(144)->252(180)->258(225)->366(241)->101(253)->237(265)->365(331)->378(370)->240(417)->336(467)->0(597)
22: 0(0)->50(88)->218(147)->346(187)->199(200)->24(220)->281(238)->362(252)->37(346)->81(384)->60(496)->0(557)
23: 0(0)->226(88)->307(153)->330(169)->373(183)->91(201)->324(214)->385(231)->0(337)
24: 0(0)->25(89)->255(100)->189(146)->31(164)->134(199)->320(219)->351(246)->193(343)->103(421)->319(535)->301(566)->0(637)
25: 0(0)->65(89)->236(209)->205(272)->291(387)->114(409)->105(541)->384(578)->180(610)->0(693)
26: 0(0)->100(89)->78(155)->40(170)->392(184)->372(195)->253(209)->275(220)->251(235)->62(249)->6(263)->69(283)->0(380)
27: 0(0)->171(90)->73(119)->264(142)->395(188)->21(206)->88(227)->274(239)->223(250)->176(262)->130(376)->229(453)->234(483)->208(594)->0(650)
28: 0(0)->312(91)->354(115)->162(178)->87(197)->389(209)->82(223)->305(235)->299(263)->200(293)->0(403)
29: 0(0)->118(94)->185(176)->137(189)->302(207)->341(220)->382(236)->174(248)->294(260)->154(318)->5(433)->131(552)->0(618)
30: 0(0)->247(96)->380(141)->151(185)->56(205)->374(219)->271(273)->231(457)->20(515)->12(637)->0(683)
31: 0(0)->148(96)->230(187)->263(214)->292(230)->289(282)->167(341)->371(375)->8(528)->28(556)->184(626)->331(676)->0(705)
32: 0(0)->260(97)->30(110)->390(139)->197(156)->70(220)->215(252)->48(298)->43(480)->17(628)->98(702)->0(760)
33: 0(0)->89(98)->16(125)->10(152)->4(165)->239(177)->110(189)->345(200)->195(212)->80(527)->203(623)->0(693)
34: 0(0)->191(98)->339(141)->394(159)->163(235)->166(287)->310(531)->347(640)->172(699)->0(756)
35: 0(0)->186(9)->254(102)->74(189)->249(208)->326(223)->192(242)->188(540)->273(646)->284(704)->0(748)
36: 0(0)->71(103)->79(117)->51(130)->122(144)->152(197)->286(211)->57(223)->41(281)->262(322)->53(557)->0(646)
37: 0(0)->112(108)->175(177)->311(229)->221(262)->325(297)->58(623)->0(646)
38: 0(0)->246(110)->29(163)->209(272)->0(376)
16363.77
