38
1: 0(0)->186(9)->93(46)->144(62)->213(111)->164(142)->169(174)->361(186)->393(204)->85(225)->77(258)->370(285)->388(384)->38(519)->102(591)->0(708)
2: 0(0)->398(26)->143(87)->296(98)->256(109)->23(124)->194(150)->328(169)->228(208)->19(237)->68(254)->146(268)->83(416)->376(511)->36(580)->0(630)
3: 0(0)->383(30)->161(53)->75(66)->211(77)->238(91)->150(111)->349(132)->318(144)->72(155)->140(168)->204(199)->400(222)->35(287)->0(310)
4: 0(0)->329(32)->250(85)->121(111)->359(138)->46(177)->270(202)->158(265)->290(281)->132(333)->365(368)->387(391)->378(429)->399(510)->0(605)
5: 0(0)->313(36)->76(93)->283(122)->315(139)->32(171)->363(184)->214(195)->308(246)->18(277)->126(293)->133(336)->159(366)->0(428)
6: 0(0)->245(48)->222(78)->107(148)->276(170)->47(204)->242(217)->3(229)->344(241)->348(254)->219(297)->117(334)->190(359)->235(397)->206(416)->244(491)->0(625)
7: 0(0)->2(56)->317(105)->173(163)->316(179)->352(198)->334(221)->327(256)->272(280)->86(311)->60(496)->0(557)
8: 0(0)->196(58)->127(70)->179(88)->243(100)->108(123)->165(140)->90(155)->360(167)->141(186)->52(219)->170(231)->33(294)->300(340)->0(460)
9: 0(0)->278(62)->104(99)->9(137)->381(152)->333(187)->275(223)->251(238)->6(254)->41(291)->0(371)
10: 0(0)->142(66)->269(77)->375(172)->355(186)->181(201)->297(213)->210(229)->39(242)->364(290)->1(304)->0(414)
11: 0(0)->306(67)->391(162)->136(185)->111(250)->109(267)->271(280)->332(341)->34(382)->26(452)->119(494)->105(511)->231(549)->0(649)
12: 0(0)->55(68)->285(183)->261(220)->268(260)->154(315)->99(416)->183(461)->225(491)->45(537)->14(591)->17(622)->0(691)
13: 0(0)->207(68)->288(140)->295(152)->177(171)->380(205)->279(238)->369(305)->309(372)->216(422)->227(450)->386(497)->131(562)->188(645)->0(751)
14: 0(0)->304(69)->368(106)->323(148)->63(166)->155(191)->282(214)->125(228)->248(266)->193(344)->358(400)->336(502)->0(632)
15: 0(0)->168(70)->97(99)->92(171)->396(186)->367(203)->11(220)->267(234)->15(246)->166(297)->124(324)->338(467)->0(610)
16: 0(0)->298(80)->156(103)->147(117)->337(156)->115(200)->382(227)->174(239)->294(251)->379(318)->160(335)->0(426)
17: 0(0)->44(82)->95(127)->217(199)->49(259)->135(382)->220(435)->7(506)->153(533)->241(590)->201(646)->0(686)
18: 0(0)->266(85)->224(96)->138(110)->340(195)->394(224)->335(350)->116(376)->64(403)->321(435)->397(485)->229(547)->0(660)
19: 0(0)->106(85)->287(156)->149(193)->67(206)->281(238)->362(252)->233(263)->66(337)->240(357)->81(384)->212(422)->0(499)
20: 0(0)->232(86)->265(165)->113(178)->96(190)->342(206)->230(219)->42(233)->198(260)->59(346)->130(381)->84(409)->0(496)
21: 0(0)->259(86)->252(152)->50(189)->189(204)->258(226)->366(242)->101(254)->205(279)->178(368)->343(481)->0(538)
22: 0(0)->218(88)->346(128)->255(150)->25(161)->171(190)->395(207)->54(218)->88(230)->274(242)->223(253)->176(265)->371(398)->202(463)->0(516)
23: 0(0)->226(88)->307(153)->330(169)->373(183)->91(201)->324(214)->385(231)->0(337)
24: 0(0)->65(89)->236(209)->128(241)->257(424)->319(495)->301(526)->208(553)->12(591)->184(636)->172(682)->0(739)
25: 0(0)->100(89)->78(155)->40(170)->392(184)->372(195)->148(208)->62(220)->209(247)->69(279)->200(306)->167(340)->322(379)->0(454)
26: 0(0)->129(90)->312(134)->354(158)->139(188)->263(203)->71(216)->292(231)->27(244)->303(255)->280(302)->0(416)
27: 0(0)->31(90)->199(118)->73(142)->134(158)->264(176)->260(191)->30(204)->24(217)->192(242)->351(253)->0(362)
28: 0(0)->118(94)->123(121)->185(187)->137(200)->302(218)->61(290)->94(320)->103(461)->187(513)->0(594)
29: 0(0)->162(95)->253(155)->254(212)->311(230)->221(263)->325(298)->291(487)->114(509)->5(547)->273(659)->0(684)
30: 0(0)->247(96)->151(174)->56(194)->374(208)->357(309)->120(397)->353(450)->293(559)->0(687)
31: 0(0)->21(97)->390(120)->197(137)->70(201)->175(221)->215(249)->48(295)->37(329)->234(455)->20(633)->0(764)
32: 0(0)->89(98)->16(125)->10(152)->4(165)->239(177)->345(190)->110(201)->195(212)->384(462)->331(573)->0(602)
33: 0(0)->191(98)->339(141)->341(160)->314(199)->277(262)->8(464)->28(492)->43(546)->80(612)->58(709)->0(732)
34: 0(0)->87(102)->389(114)->79(165)->51(178)->122(192)->29(212)->350(258)->289(274)->180(494)->310(549)->0(664)
35: 0(0)->82(105)->152(116)->286(130)->246(143)->57(154)->356(168)->305(186)->157(210)->299(251)->262(318)->0(372)
36: 0(0)->249(105)->74(124)->377(162)->326(198)->112(213)->237(261)->203(531)->347(651)->0(756)
37: 0(0)->320(108)->145(129)->13(176)->22(225)->182(556)->98(592)->284(682)->0(726)
38: 0(0)->163(131)->53(557)->0(646)
16203.54
